date,rain_mm,number,expver,temp_c,spatial_ref,spei
1981-01-01,2.9289927,0,0001,26.500977,0,0.961072
1981-02-01,9.125224,0,0001,29.140259,0,0.84836084
1981-03-01,52.66712,0,0001,29.644318,0,1.0618742
1981-04-01,52.75958,0,0001,29.579254,0,1.0856649
1981-05-01,127.6282,0,0001,27.830902,0,1.2607259
1981-06-01,129.23294,0,0001,27.071747,0,1.2949773
1981-07-01,146.99004,0,0001,25.071991,0,1.3432987
1981-08-01,155.83623,0,0001,24.825348,0,1.052771
1981-09-01,135.36548,0,0001,25.440094,0,1.0082637
1981-10-01,63.91577,0,0001,27.231995,0,0.7170359
1981-11-01,9.916403,0,0001,27.31665,0,0.5034037
1981-12-01,6.2615466,0,0001,27.385101,0,0.45740598
1982-01-01,3.2403793,0,0001,26.772827,0,0.45771515
1982-02-01,20.351522,0,0001,28.443695,0,0.6618
1982-03-01,44.426224,0,0001,29.158447,0,0.74624443
1982-04-01,74.935,0,0001,29.03183,0,0.96228915
1982-05-01,94.63273,0,0001,27.821655,0,0.7830497
1982-06-01,119.272385,0,0001,26.575043,0,0.7995899
1982-07-01,119.3134,0,0001,25.272705,0,0.38964513
1982-08-01,136.01738,0,0001,24.758636,0,0.30909058
1982-09-01,99.84182,0,0001,25.698822,0,0.0013750736
1982-10-01,80.88338,0,0001,26.26593,0,0.18967421
1982-11-01,15.263899,0,0001,26.7612,0,0.29792047
1982-12-01,4.4360986,0,0001,26.8143,0,0.31082258
1983-01-01,1.769378,0,0001,25.816467,0,0.2947283
1983-02-01,6.3439603,0,0001,29.73056,0,0.1292235
1983-03-01,16.10167,0,0001,30.9393,0,-0.25454408
1983-04-01,49.250313,0,0001,30.560974,0,-0.6089075
1983-05-01,101.594154,0,0001,28.918823,0,-0.6308347
1983-06-01,126.294754,0,0001,26.449371,0,-0.6983136
1983-07-01,118.16604,0,0001,25.595123,0,-0.6529003
1983-08-01,104.18152,0,0001,25.327759,0,-0.9875276
1983-09-01,119.363045,0,0001,25.681458,0,-0.80182785
1983-10-01,26.340578,0,0001,27.600677,0,-1.2782034
1983-11-01,14.375549,0,0001,27.815094,0,-1.3296977
1983-12-01,13.320462,0,0001,27.128754,0,-1.2965353
1984-01-01,2.719137,0,0001,27.169678,0,-1.3022014
1984-02-01,5.1670527,0,0001,28.774261,0,-1.3408947
1984-03-01,54.27943,0,0001,29.61618,0,-1.0227339
1984-04-01,56.8229,0,0001,29.4357,0,-0.8625576
1984-05-01,101.838135,0,0001,28.249298,0,-0.70783895
1984-06-01,106.92277,0,0001,26.789978,0,-0.87937635
1984-07-01,154.05446,0,0001,25.715271,0,-0.92298794
1984-08-01,142.83015,0,0001,25.762268,0,-0.8399527
1984-09-01,148.62134,0,0001,25.338776,0,-0.65933174
1984-10-01,76.85597,0,0001,26.636047,0,-0.21996321
1984-11-01,16.06678,0,0001,27.474457,0,-0.13694058
1984-12-01,6.0669317,0,0001,25.942596,0,-0.17487027
1985-01-01,5.9516597,0,0001,27.563354,0,-0.16460072
1985-02-01,6.9215684,0,0001,28.410614,0,-0.1350464
1985-03-01,42.263805,0,0001,29.934906,0,-0.2555325
1985-04-01,52.955395,0,0001,29.128998,0,-0.32764027
1985-05-01,84.48525,0,0001,28.302124,0,-0.7317419
1985-06-01,122.72048,0,0001,26.640442,0,-0.6701945
1985-07-01,197.1872,0,0001,24.776123,0,-0.15808453
1985-08-01,195.40854,0,0001,24.66034,0,0.3033282
1985-09-01,162.7858,0,0001,24.899384,0,0.41516632
1985-10-01,56.830456,0,0001,26.696198,0,0.1746984
1985-11-01,23.691092,0,0001,27.279175,0,0.123758405
1985-12-01,4.1839485,0,0001,25.47995,0,0.1325471
1986-01-01,2.1784317,0,0001,26.575409,0,0.13319181
1986-02-01,17.6893,0,0001,29.16858,0,0.2090154
1986-03-01,40.351017,0,0001,29.36264,0,0.25816375
1986-04-01,56.669693,0,0001,29.639557,0,0.29932693
1986-05-01,97.815575,0,0001,28.626648,0,0.55075645
1986-06-01,114.30116,0,0001,26.752472,0,0.5988241
1986-07-01,146.52698,0,0001,25.054962,0,0.35597923
1986-08-01,143.61453,0,0001,24.846558,0,0.06877135
1986-09-01,154.84273,0,0001,24.979248,0,0.17480189
1986-10-01,77.59076,0,0001,26.314087,0,0.40431064
1986-11-01,18.507217,0,0001,26.490906,0,0.475986
1986-12-01,3.020244,0,0001,25.815857,0,0.45677924
1987-01-01,3.8368907,0,0001,27.782074,0,0.4131457
1987-02-01,13.851275,0,0001,29.387451,0,0.2577239
1987-03-01,39.708748,0,0001,29.734985,0,0.14979656
1987-04-01,34.122276,0,0001,30.742523,0,-0.2299545
1987-05-01,69.32602,0,0001,29.677063,0,-0.7823472
1987-06-01,135.99127,0,0001,27.165619,0,-0.6684132
1987-07-01,143.57848,0,0001,26.430115,0,-0.9860667
1987-08-01,216.8752,0,0001,25.636078,0,-0.69685644
1987-09-01,173.15076,0,0001,25.78186,0,-0.8559978
1987-10-01,79.39026,0,0001,26.723175,0,-0.8479677
1987-11-01,9.74052,0,0001,27.777222,0,-1.0554738
1987-12-01,6.1101274,0,0001,26.893127,0,-1.0503246
1988-01-01,3.6900554,0,0001,27.252258,0,-1.0238109
1988-02-01,11.032092,0,0001,29.488037,0,-1.0129704
1988-03-01,46.162502,0,0001,30.215729,0,-1.0095961
1988-04-01,69.44513,0,0001,29.494293,0,-0.5879713
1988-05-01,78.271095,0,0001,29.12027,0,-0.5610014
1988-06-01,150.58415,0,0001,26.586487,0,-0.503833
1988-07-01,174.1585,0,0001,25.165955,0,-0.11815868
1988-08-01,192.71915,0,0001,24.809296,0,0.21257044
1988-09-01,167.65367,0,0001,25.334991,0,0.3432789
1988-10-01,58.461235,0,0001,26.904053,0,-0.039015178
1988-11-01,14.6642275,0,0001,27.337158,0,0.033615425
1988-12-01,8.88434,0,0001,26.010742,0,0.09042798
1989-01-01,2.089166,0,0001,26.06311,0,0.06418733
1989-02-01,4.321951,0,0001,28.265198,0,0.07388719
1989-03-01,50.311245,0,0001,28.963013,0,0.15487354
1989-04-01,55.948704,0,0001,29.603455,0,-0.17951521
1989-05-01,67.97018,0,0001,28.760895,0,-0.2163256
1989-06-01,174.13374,0,0001,26.616272,0,-0.22816622
1989-07-01,173.18721,0,0001,25.255005,0,-0.28688854
1989-08-01,240.79036,0,0001,24.762604,0,-0.14809251
1989-09-01,175.3507,0,0001,25.28772,0,-0.19879526
1989-10-01,84.37609,0,0001,26.067413,0,0.12082009
1989-11-01,10.311652,0,0001,27.468384,0,0.0495401
1989-12-01,7.7230735,0,0001,26.50116,0,0.031604726
1990-01-01,4.2991624,0,0001,27.058014,0,0.057143554
1990-02-01,12.433261,0,0001,28.213501,0,0.18833227
1990-03-01,11.986016,0,0001,30.237488,0,-0.15972704
1990-04-01,67.05796,0,0001,29.622467,0,-0.0026450001
1990-05-01,88.361664,0,0001,28.263824,0,0.30768096
1990-06-01,118.59537,0,0001,26.953003,0,0.093206465
1990-07-01,159.003,0,0001,25.123413,0,0.017975256
1990-08-01,141.56206,0,0001,25.035553,0,-1.0023768
1990-09-01,129.11093,0,0001,25.397614,0,-1.2960279
1990-10-01,61.188362,0,0001,26.88565,0,-1.5524352
1990-11-01,26.366451,0,0001,27.665619,0,-1.34387
1990-12-01,24.1331,0,0001,26.976074,0,-1.2275149
1991-01-01,6.010997,0,0001,27.28595,0,-1.2846488
1991-02-01,20.233225,0,0001,29.270538,0,-1.2789958
1991-03-01,41.06761,0,0001,29.406494,0,-0.9209301
1991-04-01,81.17835,0,0001,28.823212,0,-0.774604
1991-05-01,162.9902,0,0001,27.1109,0,0.044574168
1991-06-01,123.1816,0,0001,26.947906,0,0.16112477
1991-07-01,177.20642,0,0001,25.326263,0,0.44321936
1991-08-01,200.26297,0,0001,24.763062,0,1.1581339
1991-09-01,103.78305,0,0001,25.790405,0,0.99456584
1991-10-01,89.67928,0,0001,25.733124,0,1.3921174
1991-11-01,12.642608,0,0001,26.85434,0,1.3679035
1991-12-01,4.4050503,0,0001,26.138641,0,1.2649057
1992-01-01,2.016632,0,0001,26.153992,0,1.3081086
1992-02-01,6.7422137,0,0001,28.89087,0,1.2062622
1992-03-01,21.212803,0,0001,30.058014,0,1.0983789
1992-04-01,65.90804,0,0001,29.545593,0,1.0011358
1992-05-01,111.778946,0,0001,27.932678,0,0.56405944
1992-06-01,115.616905,0,0001,26.284332,0,0.49507385
1992-07-01,144.30179,0,0001,24.83139,0,0.13538879
1992-08-01,144.10744,0,0001,24.677582,0,-0.35557675
1992-09-01,135.22636,0,0001,25.182251,0,-0.090292744
1992-10-01,66.518364,0,0001,26.504639,0,-0.50668716
1992-11-01,26.303808,0,0001,26.156677,0,-0.4596149
1992-12-01,6.476038,0,0001,26.556183,0,-0.50019395
1993-01-01,2.1926706,0,0001,25.867249,0,-0.5113676
1993-02-01,12.551939,0,0001,28.79663,0,-0.47954345
1993-03-01,46.75886,0,0001,29.14447,0,-0.4000622
1993-04-01,62.274982,0,0001,29.746124,0,-0.4761753
1993-05-01,76.53198,0,0001,28.944244,0,-0.89748555
1993-06-01,128.3205,0,0001,26.969788,0,-0.8596682
1993-07-01,146.02728,0,0001,25.373413,0,-0.88974655
1993-08-01,176.03802,0,0001,25.159607,0,-0.84862614
1993-09-01,151.50189,0,0001,25.452637,0,-0.77907455
1993-10-01,75.03901,0,0001,26.80362,0,-0.73340875
1993-11-01,24.845991,0,0001,27.796692,0,-0.678153
1993-12-01,8.457635,0,0001,26.64093,0,-0.6442464
1994-01-01,5.136609,0,0001,26.745178,0,-0.6273446
1994-02-01,7.612528,0,0001,28.891602,0,-0.6548866
1994-03-01,34.70101,0,0001,30.025269,0,-0.58244336
1994-04-01,62.11903,0,0001,29.72818,0,-0.61505187
1994-05-01,104.03162,0,0001,28.2742,0,-0.3335372
1994-06-01,119.25593,0,0001,26.644775,0,-0.34887975
1994-07-01,145.07867,0,0001,25.530975,0,-0.26140237
1994-08-01,208.60225,0,0001,25.103363,0,0.20566073
1994-09-01,173.21379,0,0001,25.457092,0,0.5243224
1994-10-01,140.92851,0,0001,25.887146,0,1.0913483
1994-11-01,18.728954,0,0001,26.641815,0,0.89482594
1994-12-01,3.383533,0,0001,26.132416,0,0.8486548
1995-01-01,2.1259587,0,0001,26.317444,0,0.80814964
1995-02-01,5.7715664,0,0001,28.377258,0,0.8259762
1995-03-01,47.056564,0,0001,29.946198,0,0.7569311
1995-04-01,80.21012,0,0001,29.485199,0,0.990359
1995-05-01,102.69325,0,0001,28.473572,0,0.97461295
1995-06-01,130.78967,0,0001,27.156952,0,0.97576183
1995-07-01,155.21289,0,0001,25.690002,0,0.906507
1995-08-01,221.48624,0,0001,25.085938,0,0.89257646
1995-09-01,136.11903,0,0001,25.526672,0,0.39237598
1995-10-01,79.263626,0,0001,26.26181,0,-0.15445243
1995-11-01,16.479513,0,0001,26.591125,0,-0.07333905
1995-12-01,11.8067,0,0001,26.784454,0,-0.047950543
1996-01-01,4.58351,0,0001,27.390991,0,-0.123475246
1996-02-01,20.032383,0,0001,28.901672,0,-0.10995445
1996-03-01,35.226776,0,0001,29.760803,0,-0.17077826
1996-04-01,69.05517,0,0001,29.11206,0,-0.26837072
1996-05-01,106.1496,0,0001,28.553741,0,-0.21071222
1996-06-01,141.34447,0,0001,26.510803,0,-0.091023035
1996-07-01,137.95241,0,0001,25.644653,0,-0.12822472
1996-08-01,205.07156,0,0001,24.923798,0,-0.25898188
1996-09-01,136.1911,0,0001,25.100952,0,-0.055323236
1996-10-01,75.40543,0,0001,26.10791,0,-0.043357614
1996-11-01,8.698506,0,0001,26.473572,0,-0.14649707
1996-12-01,7.422646,0,0001,26.652832,0,-0.19290684
1997-01-01,4.566608,0,0001,27.57666,0,-0.15439108
1997-02-01,4.1855655,0,0001,28.116272,0,-0.22693588
1997-03-01,37.210487,0,0001,29.376556,0,-0.08435164
1997-04-01,77.75665,0,0001,28.713135,0,-0.06229391
1997-05-01,105.23022,0,0001,27.812103,0,-0.05770314
1997-06-01,171.48718,0,0001,26.369629,0,0.119238086
1997-07-01,122.32773,0,0001,25.586609,0,-0.08929552
1997-08-01,125.59319,0,0001,25.44104,0,-0.7975591
1997-09-01,137.47125,0,0001,26.210571,0,-0.9756811
1997-10-01,101.396866,0,0001,27.14917,0,-0.8582246
1997-11-01,21.982231,0,0001,27.693085,0,-0.77417034
1997-12-01,9.349303,0,0001,27.066864,0,-0.74621016
1998-01-01,5.010964,0,0001,27.430756,0,-0.71154886
1998-02-01,7.0270643,0,0001,30.062683,0,-0.69577336
1998-03-01,13.438099,0,0001,31.013214,0,-0.95026976
1998-04-01,80.406586,0,0001,31.008362,0,-1.0567802
1998-05-01,97.02439,0,0001,29.337769,0,-1.0674044
1998-06-01,134.81773,0,0001,27.174408,0,-1.3060427
1998-07-01,140.5744,0,0001,26.006927,0,-1.1874232
1998-08-01,170.98198,0,0001,25.212585,0,-0.6751201
1998-09-01,161.49557,0,0001,25.570984,0,-0.17849338
1998-10-01,84.8854,0,0001,26.581757,0,-0.26422212
1998-11-01,14.954284,0,0001,27.604126,0,-0.29052186
1998-12-01,8.888945,0,0001,27.018402,0,-0.30619174
1999-01-01,6.655537,0,0001,27.474915,0,-0.28225276
1999-02-01,17.397478,0,0001,28.263428,0,-0.18077332
1999-03-01,37.38492,0,0001,30.188263,0,-0.068863496
1999-04-01,77.87067,0,0001,29.277832,0,-0.013121976
1999-05-01,88.367836,0,0001,28.151031,0,-0.23944691
1999-06-01,128.31956,0,0001,27.105408,0,-0.5089611
1999-07-01,227.77345,0,0001,25.308258,0,0.038331173
1999-08-01,214.23607,0,0001,24.657776,0,0.3931821
1999-09-01,188.72305,0,0001,24.770721,0,0.36016962
1999-10-01,91.23353,0,0001,25.64853,0,0.5043344
1999-11-01,20.63816,0,0001,26.835083,0,0.61849487
1999-12-01,4.761687,0,0001,26.075836,0,0.5856488
2000-01-01,6.7987404,0,0001,27.483734,0,0.5697763
2000-02-01,5.112962,0,0001,27.392944,0,0.4494496
2000-03-01,29.409092,0,0001,29.974274,0,0.46711266
2000-04-01,63.633728,0,0001,30.261993,0,0.31507936
2000-05-01,97.11833,0,0001,28.762634,0,0.3591788
2000-06-01,148.79051,0,0001,26.56189,0,0.56614083
2000-07-01,146.37358,0,0001,25.54364,0,0.22371791
2000-08-01,160.73943,0,0001,25.019379,0,-0.33058518
2000-09-01,127.639946,0,0001,25.566284,0,-0.7269813
2000-10-01,72.46552,0,0001,26.432404,0,-0.9286792
2000-11-01,12.809944,0,0001,27.448822,0,-1.0710303
2000-12-01,5.703,0,0001,26.496246,0,-1.0859928
2001-01-01,2.7135544,0,0001,26.769592,0,-1.1596316
2001-02-01,5.792485,0,0001,28.404724,0,-1.1675923
2001-03-01,31.292463,0,0001,30.225677,0,-1.316284
2001-04-01,69.30592,0,0001,29.8096,0,-1.2201751
2001-05-01,109.30297,0,0001,28.800903,0,-1.1806352
2001-06-01,135.15657,0,0001,26.735138,0,-1.1636186
2001-07-01,142.60645,0,0001,25.572021,0,-1.294764
2001-08-01,138.45758,0,0001,25.114105,0,-1.2102597
2001-09-01,144.63667,0,0001,25.338226,0,-1.085109
2001-10-01,40.80025,0,0001,27.138458,0,-1.2710147
2001-11-01,17.629261,0,0001,27.556274,0,-1.24046
2001-12-01,5.6174345,0,0001,27.6828,0,-1.2781483
2002-01-01,5.0514846,0,0001,26.933838,0,-1.2030472
2002-02-01,6.286052,0,0001,28.933807,0,-1.225562
2002-03-01,30.848728,0,0001,30.588043,0,-1.1245732
2002-04-01,78.319405,0,0001,29.95633,0,-1.1704643
2002-05-01,95.76074,0,0001,29.129364,0,-1.223298
